# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
C,0.419,38.742,1
C,0.4263,28.648,1
C,0.2181,65.069,1
C,0.41,35.778,0
C,0.2181,25.948,1
Si,0.4282,53.96,1
Si,0.6509,41.931,1
C,0.2181,64.561,1
Si,0.4229,51.753,0
Si,0.6392,44.846,0
C,0.4308,39.052,1
C,0.4331,43.281,1
Si,0.4308,55.665,1
C,0.5628,30.258,0
Si,0.2181,63.936,1
C,0.2181,64.594,1
C,0.4335,0.66395,0
C,0.4335,61.93,0
C,0.412,35.043,1
Si,0.4319,58.881,1
C,0.2181,66.813,1
C,0.4151,43.483,1
C,0.2181,64.346,1
C,0.4354,55.044,0
Si,0.2181,87.232,1
Si,0.4054,43.435,0
Si,0.43,59.345,1
Si,0.2181,50.561,1
C,0.3942,37.065,0
Si,0.6306,65.945,1
Si,0.429,45.058,1
C,0.5286,30.987,0
Si,0.2181,47.624,1
C,0.2585,33.629,0
C,0.344,27.164,0
Si,0.2181,64.943,1
C,0.2805,49.838,0
C,0.4294,31.379,0
C,0.5744,26.858,0
Si,0.2181,49.284,1
Si,0.4263,0,0
Si,0.4263,48.651,0
Si,0.3958,47.798,1
C,0.2181,55.304,1
Si,0.2181,40.015,1
C,0.4294,37.825,1
Si,0.2181,57.103,1
C,0.4233,57.677,1
C,0.2181,49.707,1
Si,0.2181,57.494,1
C,0.2712,27.309,0
C,0.2181,42.062,1
C,0.2181,29.189,1
C,0.4329,37.678,1
Si,0.2181,58.712,1
C,0.2181,40.527,1
Si,0.2181,56.129,1
C,0.317,30.812,0
C,0.4325,0,0
C,0.4325,30.812,0
C,0.2181,58.498,1
Si,0.2181,47.104,1
C,0.2181,44.745,1
C,0.3501,26.084,0
Si,0.2181,41.201,1
C,0.2181,37.067,1
C,0.416,33.454,0
Si,0.2181,56.313,1
C,0.4189,38.58,1
C,0.2181,44.509,1
Si,0.2181,73.399,1
Si,0.2181,47.037,1
Si,0.2181,92.824,1
C,0.2181,31.775,1
C,0.2181,54.244,1
C,0.806,28.751,0
Si,0.2181,75.963,1
C,0.2181,59.099,1
Si,0.4332,47.092,0
C,0.2181,30.55,1
Si,0.2181,90.79,1
C,0.4039,34.099,0
C,0.2181,31.288,1
C,0.3266,0,0
C,0.3266,28.719,0
Si,0.4276,43.83,1
C,0.5416,32.758,0
Si,0.4101,55.199,1
C,0.2181,63.471,1
C,0.5993,34.441,1
C,0.2181,42.317,1
C,0.628,30.32,1
Si,0.2181,55.088,1
C,0.3201,27.931,0
C,0.2181,57.754,1
Si,0.2181,55.893,1
C,0.2181,58.123,1
Si,0.4313,56.197,1
C,0.2181,39.314,1
Si,0.2181,47.621,1
C,0.2181,64.044,1
C,0.4352,49.903,0
Si,0.2181,67.545,1
Si,0.2758,52.189,0
Si,0.6286,44.722,1
Si,0.2181,94.91,1
Si,0.5342,60.746,0
C,0.7451,38.251,0
C,0.4959,26.461,0
Si,0.2181,40.333,1
C,0.4034,29.544,1
Si,0.2181,77.298,1
C,0.5449,31.067,0
C,0.3957,28.056,0
C,0.425,35.532,1
C,0.2181,57.073,1
C,0.3916,36.877,0
C,0.2181,54.911,1
Si,0.4321,44.406,0
C,0.4283,25.973,1
C,0.4203,31.848,1
C,0.4259,40.385,1
C,0.828,0,0
C,0.828,25.964,0
Si,0.2181,44.71,1
Si,0.409,46.975,1
Si,0.4326,46.638,1
C,0.7823,27.05,0
C,0.4333,27.187,1
C,0.6306,29.171,1
Si,0.2181,40.207,1
C,0.4317,46.972,1
Si,0.4293,45.08,1
Si,0.6266,48.303,1
Si,0.4209,43.215,1
Si,0.2181,51.407,1
C,0.2181,48.761,1
Si,0.4322,68.6,1
Si,0.2181,59.037,1
Si,0.4338,45.445,0
Si,0.2181,93.249,1
C,0.4133,72.91,0
Si,0.622,42.799,0
C,0.8019,30.779,0
Si,0.5636,46.298,1
Si,0.2181,72.385,1
C,0.3678,59.812,0
C,0.7789,32.795,0
C,0.9819,0,0
C,0.9819,30.028,0
C,0.2181,45.708,1
C,0.4157,0,0
C,0.4157,43.509,0
C,0.4233,49.866,1
C,1.038,0,0
C,1.038,34.451,0
C,1.251,30.928,0
C,0.4221,30.229,1
Si,0.2181,55.484,1
Si,0.2181,58.286,1
C,0.5639,27.343,0
Si,0.4252,51.664,1
Si,0.5645,45.298,0
Si,0.6368,54.494,1
C,0.7844,25.81,0
Si,0.6493,48.358,1
Si,0.2181,54.385,1
C,0.4133,26.365,1
Si,0.2181,92.638,1
Si,0.4033,59.736,0
Si,0.5675,0,0
Si,0.5675,58.295,0
C,0.781,30.49,0
Si,0.4134,52.702,1
C,0.6928,33.76,0
C,0.428,38.276,1
Si,0.2181,46.832,1
Si,0.2181,45.748,1
Si,0.4313,57.207,1
Si,0.5906,46.75,0
C,0.2181,27.609,1
Si,0.4284,56.473,1
C,0.4302,42.868,1
Si,0.4207,51.708,1
Si,0.2181,40.427,1
C,0.2181,45.649,1
Si,0.2181,78.198,1
C,0.3954,25.563,0
C,0.2181,64.957,1
C,0.4356,0,0
C,0.4356,62.937,0
C,0.2181,38.478,1
C,0.4322,33.104,1
Si,0.2181,50.023,1
C,0.337,33.691,0
C,0.2181,31.323,1
Si,0.2181,60.854,1
Si,0.4084,44.872,0
Si,0.6317,46.186,1
C,0.743,28.909,0
C,0.2181,43.407,1
Si,0.2181,56.607,1
Si,0.2181,55.078,1
C,0.4314,29.839,0
C,0.431,48.893,1
C,0.6293,30.955,0
Si,0.2181,53.016,1
C,0.3765,36.46,0
Si,0.2181,63.932,1
C,0.2719,39.895,0
C,0.3565,0,0
C,0.3565,39.572,0
Si,0.4278,49.714,1
Si,0.2181,73.137,1
Si,0.3273,62.984,0
C,0.4975,25.944,0
Si,0.2181,48.172,1
C,0.2181,30.432,1
C,0.2181,54.182,1
C,0.3965,40.664,0
C,0.2181,31.657,1
C,0.4276,30.763,1
Si,0.2181,45.786,1
C,0.3952,28.806,1
