# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
O,0.2186,38.347,1
O,0.3104,0,0
O,0.3104,36.039,0
Ti,0.4223,44.442,1
O,0.4683,31.527,0
O,0.6117,25.026,0
O,0.2186,62.915,1
O,0.3626,50.288,0
O,0.2186,64.907,1
O,0.3822,0,0
O,0.3822,62.806,0
Ti,0.6005,44.881,0
O,0.8137,23.198,0
O,0.2186,51.596,1
O,0.3749,46.656,0
O,0.2186,58.549,1
O,0.6035,19.934,0
O,0.4037,54.802,1
O,0.5806,21.616,0
Ti,0.2186,65.732,1
O,0.5564,33.343,0
O,0.2186,24.809,1
O,0.2186,19.693,1
O,0.5957,20.084,1
O,0.2186,67.435,1
O,0.3722,64.152,0
O,0.4291,35.734,1
O,0.2186,64.787,1
O,0.3915,44.943,0
O,0.2186,42.912,1
O,0.42,32.171,0
O,0.6319,21.822,1
O,0.2186,50.159,1
O,0.6138,19.523,1
Ti,0.2186,46.32,1
O,0.2596,29.718,0
O,0.2186,39.351,1
O,0.3038,34.032,0
O,0.4744,24.695,0
Ti,0.2186,51.095,1
O,0.7921,26.925,1
O,0.2186,24.585,1
O,0.4264,24.374,1
O,0.2186,69.641,1
O,0.2186,29.39,1
Ti,0.2186,54.437,1
O,0.3794,38.067,0
O,0.2186,56.727,1
O,0.3203,21.742,0
O,0.4128,44.923,1
O,0.2186,71.294,1
O,0.4248,57.095,0
O,0.4318,43.33,1
O,0.2186,20.756,1
O,0.4285,54.943,1
O,0.6197,43.3,0
O,0.2186,51.55,1
O,0.3584,37.935,0
O,0.5237,30.951,0
O,0.2186,48.806,1
O,0.2186,20.769,1
O,0.428,50.656,1
O,0.384,30.763,1
Ti,0.2186,41.393,1
O,0.3693,27.625,1
O,0.2186,28.552,1
O,0.2918,0.090992,0
O,0.2918,26.461,0
O,0.4249,45.633,1
Ti,0.2186,42.194,1
O,0.4318,24.028,1
O,0.8565,19.451,1
Ti,0.2186,50.734,1
O,0.1983,23.226,0
O,0.6342,19.194,1
O,0.2186,66.564,1
O,0.4353,53.552,0
O,0.2186,59.718,1
O,0.4331,49.767,0
Ti,0.2186,46.52,1
O,0.2186,46.347,1
O,0.3318,41.051,0
O,0.6619,23.279,0
O,0.4197,29.212,1
O,0.4318,64.324,1
O,1.138,21.067,0
O,0.2186,36.542,1
Ti,0.2186,58.983,1
O,0.3387,23.794,1
O,0.2186,45.679,1
O,0.3198,41.17,0
O,0.671,0,0
O,0.671,32.15,0
O,0.4198,29.138,1
O,0.6224,20.931,0
O,0.3989,22.177,1
O,0.2186,43.998,1
O,0.3916,30.364,0
Ti,0.2186,67.229,1
O,0.277,27.652,0
O,0.2186,21.332,1
O,0.2748,0,0
O,0.2748,19.308,0
Ti,0.4283,63.361,1
Ti,0.4478,60.52,0
O,0.531,40.389,0
O,0.4189,43.775,1
O,0.2186,61.429,1
O,0.2186,40.826,1
Ti,0.4216,49.524,1
O,0.4704,21.024,0
O,0.2186,46.147,1
O,0.2186,22.628,1
O,0.5668,25.134,1
O,0.4123,55.187,1
O,0.2186,47.329,1
O,0.4195,22.353,1
O,0.2186,71.587,1
O,0.585,19.826,0
O,0.4044,37.969,0
O,0.2186,36.165,1
O,0.2971,28.68,0
O,0.423,30.539,1
Ti,0.4194,69.106,1
O,0.4568,51.256,0
Ti,0.2186,67.641,1
Ti,0.3566,64.705,0
O,0.7503,32.08,0
Ti,0.6446,52.243,1
O,0.6789,20.913,0
O,0.2186,56.529,1
O,0.4175,0,0
O,0.4175,53.365,0
O,0.6333,48.086,0
Ti,0.2186,50.979,1
O,0.3135,19.976,0
Ti,0.2186,63.996,1
Ti,0.4082,47.081,0
O,0.588,34.911,0
O,0.2186,30.525,1
O,0.4249,51.083,1
O,0.2186,44.183,1
O,0.3246,30.888,0
Ti,0.2186,56.427,1
O,0.3196,23.033,0
O,0.3361,24.41,1
O,0.2186,72.007,1
Ti,0.3875,52.254,0
O,0.2186,35.248,1
O,0.3178,31.758,0
O,0.4311,53.128,1
O,0.2186,33.122,1
Ti,0.424,45.126,1
O,0.477,21.698,0
O,0.2186,67.525,1
O,0.3849,0,0
O,0.3849,63.713,0
O,0.4243,27.282,1
O,0.3831,39.301,1
O,0.2186,62.329,1
O,0.4115,45.327,0
O,0.7177,25.986,1
O,0.2186,41.771,1
O,0.3145,0.0039218,0
O,0.3145,39.767,0
O,0.8706,22.484,0
O,0.4207,41.947,1
Ti,0.4312,42.579,1
O,0.2186,46.607,1
O,0.4082,0,0
O,0.4082,44.054,0
O,0.4202,35.181,1
Ti,0.2186,39.308,1
O,0.3734,27.864,1
O,0.2186,76.006,1
O,0.8105,19.342,0
O,0.4146,33.089,1
O,0.8447,21.828,1
Ti,0.2186,90.952,1
O,0.01517,21.034,0
O,0.4309,25.425,1
O,0.3923,37.653,1
O,0.5277,20.845,0
Ti,0.2186,47.261,1
O,0.2319,33.102,0
O,0.2801,28.204,0
O,0.3822,26.291,0
Ti,0.3572,41.567,1
O,0.1525,26.282,0
O,0.2186,62.281,1
Ti,0.3636,40.341,0
O,0.557,21.451,0
Ti,0.2186,68.796,1
O,0.2186,51.298,1
Ti,0.4194,40.644,1
O,0.2186,62.409,1
O,0.2186,24.959,1
O,0.3152,20.721,0
O,0.2186,48.182,1
O,0.2186,51.891,1
O,0.419,26.595,1
O,0.2186,23.385,1
O,0.2798,0.87985,0
O,0.2798,20.506,0
O,0.2186,65.34,1
O,0.4241,0,0
O,0.4241,63.339,0
O,1.047,33.042,0
O,0.2186,35.135,1
O,0.4226,26.089,1
O,0.6194,24.608,1
O,0.2186,27.232,1
O,0.3935,21.83,0
O,0.4254,22.767,1
O,0.2186,24.347,1
O,0.3606,19.646,0
O,0.4265,32.952,1
Ti,0.6306,67.193,1
Ti,0.4316,48.716,0
O,0.2186,22.16,1
Ti,0.428,73.281,1
O,0.3882,51.007,0
O,0.2694,44.257,0
O,0.002442,0,0
O,0.002442,29.378,0
O,0.2186,19.298,1
O,0.7345,23.074,1
O,0.2186,48.805,1
O,0.6092,20.133,1
O,0.2186,47.582,1
O,0.4298,30.354,0
O,0.2186,33.946,1
O,0.2186,24.768,1
O,0.2186,63.099,1
O,0.3644,25.785,0
O,0.4295,58.305,1
O,0.9362,24.744,0
O,0.6283,29.531,1
O,0.7562,21.244,0
O,0.611,46.371,1
O,0.7871,38.991,0
O,0.2186,42.092,1
O,0.3242,0.0087832,0
O,0.3242,40.083,0
O,0.5427,22.911,0
Ti,0.4206,47.489,1
Ti,0.2186,66.567,1
O,0.5418,24.293,0
O,0.2186,56.564,1
O,0.3787,0,0
O,0.3787,52.592,0
O,0.4191,22.788,1
O,0.4323,21.281,1
O,0.649,21.138,1
O,0.4303,57.71,1
O,0.2186,21.12,1
O,0.4279,28.217,1
Ti,0.2186,72.267,1
O,0.6943,20.007,0
O,0.3475,22.501,0
Ti,0.2186,69.916,1
O,0.2186,25.62,1
O,0.3424,0.25541,0
O,0.3424,20.727,0
O,0.2186,19.031,1
O,0.4292,64.105,1
O,0.2186,22.38,1
Ti,0.7881,40.001,1
O,0.8771,19.504,0
O,0.2186,42.966,1
O,0.4109,32.506,0
O,0.4016,23.347,1
Ti,0.635,49.165,1
O,0.6776,32.323,0
Ti,0.5988,40.061,1
O,0.6293,33.493,1
O,0.2186,25.188,1
O,0.4262,19.84,1
O,0.2186,67.831,1
O,0.4088,27.621,0
Ti,0.2186,46.051,1
O,0.6291,19.225,1
O,0.4293,55.787,1
O,0.6192,20.093,0
Ti,0.2186,82.434,1
O,0.3028,32.797,0
O,0.4301,61.692,1
O,0.6319,23.496,0
O,0.2186,28.103,1
O,0.4281,39.093,1
O,0.5649,21.088,0
Ti,0.2186,43.785,1
O,0.2112,30.525,0
Ti,0.6363,54.949,1
O,0.7264,25.208,0
O,0.2186,22.427,1
O,0.2186,33.203,1
O,0.4059,29.645,0
O,0.4239,38.82,1
O,0.6065,32.696,0
O,0.2186,68.903,1
O,0.4336,0,0
O,0.4336,66.632,0
O,0.9628,26.391,0
O,0.6518,20.522,0
O,0.2186,41.949,1
O,0.4207,27.884,0
O,0.4213,20.751,1
O,0.2186,53.94,1
O,0.3795,0.31579,0
O,0.3795,51.624,0
O,0.5969,26.743,0
O,0.5515,28.486,1
Ti,0.2186,48.9,1
O,0.3406,35.226,0
O,0.5457,0,0
O,0.5457,32.29,0
Ti,0.2186,46.889,1
O,0.4293,24.055,0
O,0.2186,33.915,1
O,0.3247,0.14225,0
O,0.3247,31.772,0
Ti,0.4237,46.763,1
O,0.4317,36.317,1
O,0.6318,29.426,1
O,0.4323,43.546,1
O,0.5708,30.662,0
O,0.2186,67.537,1
O,0.404,64.486,0
O,0.6202,47.653,0
O,0.4209,20.852,1
O,0.2186,22.868,1
O,0.2899,0,0
O,0.2899,20.394,0
O,0.488,0.39547,0
O,0.488,19.332,0
O,0.4271,43.804,1
O,0.4323,42.323,1
Ti,0.2186,47.37,1
O,0.3999,35.268,1
O,0.2186,26.735,1
O,0.3376,20.771,0
O,0.2186,66.531,1
Ti,0.2186,89.4,1
O,0.1305,54.165,0
O,0.5539,26.893,1
O,0.2186,27.287,1
O,0.3945,0.090214,0
O,0.3945,23.601,0
Ti,0.4072,64.006,1
O,0.2186,40.333,1
Ti,0.2186,80.681,1
O,0.3519,34.501,0
O,0.5989,20.619,0
O,0.2186,40.09,1
O,0.3871,25.633,0
O,0.6407,21.694,1
O,0.418,44.241,1
O,0.6316,27.411,1
O,0.2186,34.42,1
O,0.3623,0,0
O,0.3623,31.597,0
O,0.7792,21.011,1
O,0.2186,48.528,1
Ti,0.2186,60.323,1
O,0.3864,29.757,0
O,0.5455,0.14172,0
O,0.5455,29.616,0
Ti,0.2186,69.46,1
O,0.1897,25.101,0
O,0.09839,23.511,0
O,0.2186,20.514,1
O,0.4281,31.439,1
O,0.2186,50.509,1
O,0.34,25.247,0
O,0.2186,55.308,1
O,0.146,0,0
O,0.146,20.575,0
O,0.2186,58.551,1
O,0.2186,74.606,1
O,0.4348,0.57892,0
O,0.4348,72.027,0
O,0.6526,40.614,0
O,0.2186,30.784,1
O,0.2186,42.887,1
O,0.3098,34.866,0
O,0.4211,27.539,1
Ti,0.2186,61.074,1
O,0.4066,22.348,0
Ti,0.2186,48.929,1
O,0.3113,30.239,0
Ti,0.36,50.388,1
O,0.615,35.98,1
Ti,0.2186,54.702,1
O,0.2667,27.622,0
O,0.2186,36.358,1
Ti,0.4229,42.456,1
O,0.5617,21.759,0
O,0.2186,66.066,1
O,0.3631,61.286,0
O,0.7648,35.621,0
O,0.4309,43.522,1
O,0.5844,30.819,0
Ti,0.2186,66.583,1
Ti,0.396,56.381,0
O,0.5896,41.541,0
O,0.2186,27.241,1
Ti,0.2186,73.042,1
O,0.2049,42.72,0
O,0.2668,0,0
O,0.2668,19.609,0
O,0.1794,19.483,0
Ti,0.2186,64.317,1
O,0.3953,47.629,0
O,0.6116,20.329,0
O,0.2186,51.878,1
O,0.4274,32.979,0
O,0.4193,19.139,1
O,0.6333,20.802,1
O,0.8435,19.092,1
O,0.2186,24.211,1
O,0.6365,20.618,1
Ti,0.2186,74.407,1
O,0.1861,41.441,0
O,0.2088,0.36157,0
O,0.2088,24.892,0
O,0.3606,0.24268,0
O,0.3606,24.649,0
O,0.4304,32.03,1
Ti,0.2186,71.322,1
O,0.2381,30.623,0
O,0.2186,26.489,1
O,0.4257,44.837,1
O,0.5937,23.177,0
O,0.2186,59.309,1
O,0.4292,22.577,1
O,0.4324,28.538,1
O,0.8524,22.025,1
O,0.4296,34.811,1
O,0.5576,0.63879,0
O,0.5576,29.064,0
O,0.4308,35.034,1
O,0.2186,21.888,1
O,0.2186,61.088,1
O,0.3735,31.104,0
O,0.2186,24.639,1
O,0.8496,19.335,1
O,0.2186,63.998,1
O,0.3735,42.112,0
O,0.7366,20.466,0
Ti,0.4326,66.513,1
O,0.5387,21.09,0
O,0.2186,48.213,1
Ti,0.4329,48.807,1
O,0.4896,30.571,0
O,0.2186,81.12,1
O,0.2186,57.794,1
O,0.4302,33.46,0
O,0.5972,19.11,0
O,0.2186,60.547,1
O,0.4365,29.561,0
O,0.7329,0,0
O,0.7329,22.863,0
O,0.552,37.087,1
O,0.2186,46.524,1
O,0.3234,37.353,0
O,0.2186,64.817,1
O,0.3652,44.083,0
O,0.2186,23.737,1
O,0.3871,0,0
O,0.3871,21.735,0
Ti,0.4268,47.146,1
